aX, aY, aZ, rX, rY, rZ
532, -12240, 11636, -12376, -4, 48,
764, -11360, 11528, -11918, -16, 45,
476, -11660, 11392, -11838, -45, 48,
916, -13828, 10928, -10847, 5, 37,
816, -14708, 10932, -9364, -12, 22,
744, -15436, 10900, -7507, 125, 2,
556, -14780, 10448, -5891, 75, -12,
628, -14024, 10584, -4706, 42, -27,
420, -14848, 10204, -3592, -131, -40,
828, -16576, 10392, -1392, -189, -101,
828, -17676, 10348, 1321, -41, -85,
1080, -18308, 10608, 4518, 80, -111,
644, -17172, 10352, 7466, 233, -123,
448, -15788, 10416, 9705, 41, -190,
668, -15532, 10636, 11799, 60, -239,
648, -16176, 10596, 14276, -40, -230,
1072, -15516, 10964, 16863, 106, -257,
584, -14408, 10916, 19194, 132, -281,
788, -13060, 11668, 21103, 169, -365,
668, -11220, 11436, 22383, 134, -354,
1208, -8384, 11836, 22641, 465, -348,
676, -4912, 12196, 21543, 492, -265,
828, -1548, 12864, 18845, 508, -207,
452, 2140, 13884, 14834, 394, -215,
224, 3768, 14348, 9275, 7, -183,
4, 844, 14708, 4926, -238, -174,
1516, -1552, 15620, 2206, -38, -141,
832, -544, 15608, -296, 136, -44,
564, 840, 14948, -3674, 69, -34,
636, 188, 15140, -7163, -69, 6,
800, -3036, 15136, -9517, -45, 27,
752, -7176, 14392, -9782, -26, 0,
840, -10328, 14664, -8037, -118, 26,
820, -13500, 14952, -4885, 5, -19,
1180, -15364, 15068, -245, 156, -37,
612, -15328, 14932, 4538, 210, -102,
1048, -14176, 14776, 9108, 311, -156,
500, -12984, 14572, 13079, 261, -210,
756, -11324, 14344, 16420, 303, -228,
456, -9488, 13628, 19179, 268, -243,
716, -7760, 13876, 21271, 198, -299,
916, -5984, 13812, 22903, 280, -291,
776, -4108, 13924, 23874, 337, -291,
684, -1796, 13580, 24197, 367, -304,
280, 492, 13636, 23667, 249, -296,
684, 1724, 13952, 22766, 269, -281,
924, 1840, 14184, 22137, 342, -297,
624, 2968, 14252, 21577, 361, -254,
272, 5208, 14188, 20479, 231, -271,
496, 6664, 14336, 18702, 147, -256,
596, 6828, 14292, 17036, 110, -266,
736, 6172, 14312, 16016, 181, -244,
464, 5736, 14204, 15644, 170, -236,
684, 5552, 14016, 15845, 132, -230,
540, 6384, 13616, 15928, 184, -243,
724, 7500, 13644, 15755, 243, -220,
724, 8412, 13404, 15229, 260, -231,
340, 9824, 13000, 14658, 255, -233,
128, 11100, 12620, 13290, 50, -216,
592, 10664, 12596, 12185, 66, -207,
884, 10880, 12748, 11373, 197, -181,
112, 11316, 12152, 10476, 178, -158,
956, 12348, 12292, 9286, 284, -155,
688, 12632, 11888, 8076, 199, -140,
